,C,degree,kernel,gamma,person
0,1,2,linear,scale,31
1,10,2,linear,scale,32
2,1,2,linear,scale,33
3,10,2,rbf,scale,34
4,1,2,rbf,scale,35
5,1,2,linear,scale,36
6,10,2,rbf,scale,37
7,1,2,linear,scale,38
8,10,2,linear,scale,39
9,10,2,linear,scale,40
10,1,2,linear,scale,41
11,10,2,linear,scale,42
12,1,2,linear,scale,43
13,10,2,linear,scale,44
14,1,2,linear,scale,45
15,1,2,rbf,scale,46
16,1,2,linear,scale,47
17,10,2,rbf,scale,48
18,10,2,linear,scale,49
19,10,2,linear,scale,50
20,1,2,rbf,scale,51
21,10,2,rbf,scale,52
22,10,2,rbf,scale,53
23,10,2,rbf,scale,54
24,10,2,linear,scale,55
25,1,2,linear,scale,56
26,10,2,linear,scale,57
27,10,2,linear,scale,58
28,10,2,rbf,scale,59
29,10,2,rbf,scale,60
